Time Diff, Data, meas
8643,0,RPM
8643,0,TPS
8644,109,MAP
8662,0,REVCNT
8665,0,RPM
8665,0,TPS
8666,109,MAP
8685,494,ACC1X
8688,521,ACC1Y
8688,603,ACC1Z
8689,0,CHIP1T
8706,0,REVCNT
8709,0,RPM
8709,0,TPS
8710,109,MAP
8727,0,REVCNT
8730,0,RPM
8730,0,TPS
8731,109,MAP
8753,0,REVCNT
8756,0,RPM
8760,0,TPS
8761,109,MAP
8780,0,REVCNT
8782,0,RPM
8783,0,TPS
8783,109,MAP
8810,494,ACC1X
8813,520,ACC1Y
8814,603,ACC1Z
8814,0,CHIP1T
8830,0,REVCNT
8834,0,RPM
8835,0,TPS
8835,109,MAP
8852,0,REVCNT
8855,0,RPM
8856,0,TPS
8856,109,MAP
8879,0,REVCNT
8882,0,RPM
8883,0,TPS
8883,109,MAP
8901,0,REVCNT
8904,0,RPM
8904,0,TPS
8905,109,MAP
8925,494,ACC1X
8928,520,ACC1Y
8928,602,ACC1Z
8929,0,CHIP1T
8945,0,REVCNT
8948,0,RPM
8948,0,TPS
8949,109,MAP
8967,0,REVCNT
8970,0,RPM
8970,0,TPS
8977,109,MAP
8998,0,REVCNT
9001,0,RPM
9001,0,TPS
9003,109,MAP
9020,0,REVCNT
9023,0,RPM
9024,0,TPS
9024,109,MAP
9043,494,ACC1X
9047,520,ACC1Y
9048,603,ACC1Z
9049,0,CHIP1T
9065,0,REVCNT
9067,0,RPM
9068,0,TPS
9068,109,MAP
9086,0,REVCNT
9090,0,RPM
9090,0,TPS
9090,109,MAP
9113,0,REVCNT
9116,0,RPM
9116,0,TPS
9117,109,MAP
9135,0,REVCNT
9138,0,RPM
9139,0,TPS
9139,109,MAP
9158,494,ACC1X
9161,520,ACC1Y
9162,602,ACC1Z
9163,0,CHIP1T
9180,0,REVCNT
9182,0,RPM
9183,0,TPS
9183,109,MAP
9204,0,REVCNT
9207,0,RPM
9208,0,TPS
9208,109,MAP
9231,0,REVCNT
9233,0,RPM
9234,0,TPS
9235,109,MAP
9252,0,REVCNT
9255,0,RPM
9255,0,TPS
9256,109,MAP
9276,494,ACC1X
9279,520,ACC1Y
9279,603,ACC1Z
9280,0,CHIP1T
9296,0,REVCNT
9299,0,RPM
9299,0,TPS
9300,109,MAP
9318,0,REVCNT
9321,0,RPM
9321,0,TPS
9322,109,MAP
9345,0,REVCNT
9348,0,RPM
9348,0,TPS
9349,109,MAP
9366,0,REVCNT
9369,0,RPM
9369,0,TPS
9370,109,MAP
9390,494,ACC1X
9393,520,ACC1Y
9393,602,ACC1Z
9394,0,CHIP1T
9410,0,REVCNT
9419,0,RPM
9419,0,TPS
9420,109,MAP
9438,0,REVCNT
9441,0,RPM
9441,0,TPS
9442,109,MAP
9463,0,REVCNT
9466,0,RPM
9467,0,TPS
9467,109,MAP
9486,0,REVCNT
9489,0,RPM
9489,0,TPS
9489,109,MAP
9509,495,ACC1X
9512,520,ACC1Y
9512,602,ACC1Z
9513,0,CHIP1T
9530,0,REVCNT
9533,0,RPM
9533,0,TPS
9533,109,MAP
9551,0,REVCNT
9554,0,RPM
9554,0,TPS
9554,109,MAP
9577,0,REVCNT
9580,0,RPM
9580,0,TPS
9581,109,MAP
9598,0,REVCNT
9602,0,RPM
9603,0,TPS
9603,109,MAP
9622,494,ACC1X
9625,520,ACC1Y
9626,603,ACC1Z
9630,0,CHIP1T
9647,0,REVCNT
9650,0,RPM
9651,0,TPS
9651,109,MAP
9668,0,REVCNT
9671,0,RPM
9672,0,TPS
9672,109,MAP
9695,0,REVCNT
9698,0,RPM
9699,0,TPS
9699,109,MAP
9717,0,REVCNT
9720,0,RPM
9720,0,TPS
9720,109,MAP
9741,494,ACC1X
9744,520,ACC1Y
9744,602,ACC1Z
